id	original_title	french_title	romanized_title	language	release_year	runtime	genres	avg_rating	vote_count	directors	writers	budget	revenue	production_companies	production_countries	poster_path	trailer_url	kw_tmdb	kw_imdb	plot
tt0067812	真剣勝負	Duel à mort	Shinken shôbu	Japanese	1971	75	Action, Drama	6.7	106	Tomu Uchida	Daisuke Itô	0	0	TOHO	Japan	/lFFbfzBG56EqpVluuO9ojkrP6CC.jpg		chambara, jidaigeki, miyamoto musashi	sword, swordsman, chain, chain and sickle, wanderer	In the retelling of the story of the legendary Japanese swordsman Miyamoto Musashi, the story takes the wanderer into a conflict with a chain and sickle wielding adversary who cannot be taken lightly, the man's wife who is out for blood and his gang of ruffians. A protracted fight, duel, as well as stylized philosophical clashes await.
tt0067824	唐山大兄	Big Boss	Tang shan da xiong	Chinese Simplified	1971	100	Action, Crime, Drama, Thriller	6.9	29357	Wei Lo	Wei Lo	100000	0	Orange Sky Golden Harvest	Hong Kong	/9VFYDWYnAhXAgyqgs94lwNmMBbk.jpg	https://imdb-video.media-imdb.com/vi689944601/1434659607842-pgv4ql-1564022445930.mp4?Expires=1714336747&Signature=B0HfzMrsjpclyR7VIwgDLtQ6HGu3W6cw6TQdNhFA6Z8cjsW70Ifd-XNBO0MswxPVl20Spg72TAkl~i25CduDchEss7qMkqoykN7lDVvf9xf5uFrUk2PqN0~0yePrM6bigNZJuNdO5fnt6rcREU7U488oV2rrf03LBpqCtIffyoGFRUlKAPV9t8mon8trbWh-Q546TLvWsz38mfOxT4iUMP~7zdesi46HLz6BUww3effSqL34gckjhVnbpxbpcWgz7kjkVk3-kjsdsREQ5lv8sPuQ-n3KYvYXxodPj1k6kJEigXlRhQxfjsohqBpPQ4CEVYg70HqN26AWziG-Z~in5Q__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA	factory worker, factory, mother, martial arts, kung fu, prostitute, smuggling (contraband), boss, promise, drugs, east asian lead, family, management	martial arts, bruceploitation, factory, martial arts action, female nudity	A young man sworn to an oath of non-violence works with his cousins in an ice factory where they mysteriously begin to disappear.
tt0067854	天龍八將	Les 8 invincibles du kung fu	Tian long ba jiang	Chinese Traditional	1971	95	Action, Drama	6.7	94	Wei Lo	Wei Lo, Kuang Ni	0	0	Orange Sky Golden Harvest	Hong Kong	/trrdY6kYkSNggTM4lJ0cYvujzRn.jpg		martial arts, kung fu, whip, sword fight, revenge, female martial artist, whipping	children, father, wuxia, sword fight, violence	The 8 children of 8 different slain Generals who want to avenge the death of their father by killing General Hsiao.
tt0068000	刁手怪招	La Rage du vainqueur	Diao shou guai zhao	Chinese Traditional	1973	80	Action, Comedy, Drama	5.1	2128	Mu Chu, Hai-Feng Wei	Sun Liu	0	0	Soon Lee Films	Hong Kong	/3Qf9OEhcYM3zW5e9ZGtJ6IQ53sY.jpg			waiter, adopted son, arsonist, arson, revenge	"A old beggar from the woods secretly teaches Chien Fu kung fu as he can't afford regular classes and his ""dad"" doesn't want him fighting. He grows up, works as waiter and ends up fighting men from his town's crime syndicate."
tt0068004	影子神鞭	L'ombre du fouet	Ying zi shen bian	Chinese Simplified	1971	78	Action, Drama	6.4	353	Wei Lo	Kuang Ni, Wei Lo	0	0	Shaw Brothers	Hong Kong	/iFXWqChn1GWEkSx5lsTwmFljYxi.jpg			whip, wuxia, heroine, kung fu, martial arts	This top ten hit reunites Come Drink With Me's stars for a new adventure. Whether single-handedly fighting sixteen bandits, avenging her father's death, or solving multiple murders, our heroine shows why she's Hong Kong's number one sword - and whip - woman!
tt0068015	Zhan shen tan	Le Dieu de la guerre	Zhan shen tan	Chinese Simplified	1973	100	Action	6.7	301	Jimmy Wang Yu	Jimmy Wang Yu	0	0	Orange Sky Golden Harvest	Hong Kong	/6VJtpDu2JZCe2202b9ivbR21dKt.jpg		martial arts, samurai, swordplay, japanese occupation	pirate, fight, band	The famous swordsman Hsia Feng gathers five other fighters and rallies the local fishermen to fight off a band of Japanese pirates.
tt0068287	盲拳	Ça branle dans les bambous	Mang quan	Chinese Simplified	1972	85	Action	5.2	17	Sum Cheung	Kuang Ni	0	0		Hong Kong	/zal9RmKHXzs1GNWZQaOTqbqLDwW.jpg			super 8, martial arts, school	"Fong Man is a prominent member of a Chinese Boxing school run by his blind father/Instructor. The students are often distracted by national televised fights and are particularly enamored by the current champion, ""Gorilla""."
tt0068310	馬永貞	La Brute, le Bonze et le Méchant	Ma Yong Zhen	Chinese Simplified	1972	134	Action, Crime, Drama, Romance	7.0	1472	Cheh Chang, Hsueh-Li Pao	Cheh Chang, Kuang Ni	520005	0	Shaw Brothers	Hong Kong	/yHIKeUXQ0N8icn0KIyXDEsvHYmx.jpg	https://imdb-video.media-imdb.com/vi1528808217/1434659607842-pgv4ql-1643475327407.mp4?Expires=1714336759&Signature=jVzc1PDryb269XZ1H08hLJr~JXPhNmogPRyICH-xjaHfXNoxtkqIDa2~ZRilZMFEXW8yxakfLN1QP2zpF2RZaO9eJlBK5im7ArTZUMWr3nSlEQJ2f76XwH1JNVjge4Vs~jr2rhE~jr3jm1C-4Ul2QU02AFdnTJV1sZiqi5LCQWf1-ZyikI9O2PuR3Jlj1e12EqPrq7okkyYcjUOvrqlKG-Bj9y8rGrtTNGtS4cfQRFErMc5dXMINZeJZQNANSbQO~I5DHjtFMKR6-Sghgp2YBMt84dgK3xMypei-uG2ui9AKFnvWJROy2DGvWvy~6lKWUdfgBlkGxTUq~pBpZc2YTg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA	martial arts, shanghai, china, gangster, gang leader, hong kong, mob action, 1930s	martial arts, kung fu, poverty, wartime, boxing	Leaving the poverty of his life in Shantung to seek fortune in Shanghai, The Boxer is instead drawn into a world of corruption, gang warfare and evil... Where his only protection is his famed fighting technique.
tt0068371	地球攻撃命令 ゴジラ対ガイガン	Extermination 2025	Chikyû kogeki meirei Gojira tai Gaigan	Japanese	1972	89	Action, Adventure, Family, Sci-Fi	5.6	5660	Jun Fukuda, Ishirô Honda, Shûe Matsubayashi	Shin'ichi Sekizawa	0	1780000	TOHO, Toho Eizo Co.	Japan	/hrsIGO4RUxPsYdOIsbSJGqzjpVi.jpg	https://imdb-video.media-imdb.com/vi3575235353/1434659607842-pgv4ql-1643150802087.mp4?Expires=1714336761&Signature=RSeORNY5aMqZ8~9e-RM-F4IdFDIb~80ZnCklXJiM9ufiJ6P1MdogF~D8XaM4CamBZf8EZGlRV6AdhlKgCvACFZDQDLCspaQ2uK~JOZdvpY4X8u4BYK3P~RctzD94kfoeqjh978Dqx2FultRXGAy6~ZtoK2G55yWugfem2wove4I~1XaTCTEmqlKia08gl6wzb4bng3GoGoGNl7d9wW3dKXgi2ubp7Xb6kE86Au0sYtlue3P857Kwb84VC1rvhIrvA1vrhVvGYDtmUAGWkRTEYl0SbA8rPRN4Qe3b166z3jCzsmLGtiR5IPtxpnpu4XCROF9lvvH6Sf33RvfD3WX~Cg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA	peace, giant monster, cockroach, sequel, alien invasion, amusement park, theme park, gojira, kaiju, anguirus, monster island, king ghidorah, godzilla, tokusatsu	godzilla, kaiju, giant monster, psychotronic film, king ghidorah character	A manga artist becomes suspicious of his employers when a garbled message is discovered on tape. As he forms a team to investigate, Godzilla and Anguirus set out to help defeat the invaders.
tt0068372	仇連環	Le Nouveau Justicier de Shanghaï	Chou lian huan	Chinese Simplified	1972	92	Action, Drama	6.3	294	Cheh Chang, Hsueh-Li Pao	Kuang Ni, Cheh Chang	0	0	Shaw Brothers	Hong Kong	/olnMdMunyQzZdizsH8hlAObhTJk.jpg			body in river, slapping woman, anti hero, stabbed in the back, stabbed in the stomach	Chen Kuan-tai exuded incredible power on screen, which his directors used to great advantage in this fight-filled follow-up to the smash hit The Boxer From Shantung -- which culminates in an incredible climatic battle, choreographed by the legendary Liu Chia-liang and Chen Chuan.
