id	french_title	tags
tt0026831	Trois soeurs de coeur pur	drama three sister earn money by be street musicians. a number of loos link episod ensu as the sister who have differ characters, various becom involv in the world of criminals, sacrific themselv and find love. siblingrelationship crimin streetmusician mikionarus
tt0026963	Cinq types au cirque	drama five poor musician make up the worst travel brass band in japan. for a few day they hook up with an aw circu whose male perform are on strike. travelingcircu band poverti mikionarus
tt0027076	Le pot d'un million de ryôs	comedi drama a man get rid of a cheap pot without know it contain a map to a treasure. as word spreads, mani join in hunt it. chambara chanbara hiddentreasur littleboy lossoffath bowandarrow sing theft sadaoyamanaka
tt0027117	Le collège est un endroit agréable	comedi drama a group of student and recent graduat struggl to complet their studi and find jobs. struggl group yasujirôozu
tt0027118	Une auberge à Tokyo	drama unemploy kihachi and hi two son struggl to make end meet. but that doesn't keep kihachi from woo singl mother otaka. tokyo japan inn poverti fathersonrelationship child mother yasujirôozu
tt0027138	Ma femme, sois comme une rose	drama when she reach adulthood, a precoci young woman set out to find her biolog father, who, as her mother tell her, abandon them for anoth woman. gold poetri geisha mountain marriag basedonplayormus tokyo japan haiku smallvillag mother woman young basedonplay mikionarus
tt0027163	La fille dont on parle	drama the suitor reject elder sister kuni but like kimoko, the younger one. their father and hi mistress have separ shops. kimiko suddenli learn that she is her mother. busi is bad. the polic visit when busi shortcut are taken. siblingrelationship modernsocieti familybusi mistress widow nosyneighbor financialproblem polic busi father mikionarus
tt0027307	Monsieur Merci	comedi drama a friendli bu driver and hi passeng over the durat of one journey through the mountain to the nearest train station. countrysid busrid basedonshortstori bustrip polit mustachedman mountain ruralroad windingroad hiroshishimizu
tt0027312	Une avenue au matin	drama mikionarus
tt0027672	Les soeurs de Gion	drama two geisha sister lead a hard life in the gion district of kyoto. after one of them feel oblig to support a bankrupt businessman, the other sister set up variou scheme to get rid of him. japan siblingrelationship geisha lover kyoto japan bankruptci broke kyotojapan unreliablenarr seduct kenjimizoguchi
tt0027752	Le fils unique	drama a widow send her onli son away to receiv a better education. year later, she visit him, find him a poor school teacher with a wife and son. parentchildrelationship tokyo japan 1930 selfsacrific maternallov shinshujapan taxi school yasujirôozu
tt0027844	Le chemin parcouru ensemble	"drama ""the road i travel with you"" concern two brother of marriag age and their mother, a former geisha who ha been set up by an absent patron in a spaciou countri home in kamakura. the futur of the two boys, torn between love match and arrang marriages, are insepar from the load question of famili status, money, and decis made by the head of wealthi families. basedonnovel mikionarus"
tt0028021	L'élégie d'Osaka	comedi drama a young woman becom a mistress of her boss in order to support her family. mistress embezzl dogsleepinginb caughtwithmistress osakajapan theater marque kenjimizoguchi
tt0028028	La fille du samurai	drama romanc teruo is an adopt son of an old samurai famili that return to japan after live in germani and is expect to marri mitsuko. but he' struggl to readjust to japan and intend to marri an aryan woman. son familyrelationship arnoldfanck mansakuitami
tt0028247	Nouvelle voie	drama basedonnovel heinosukegosho
tt0028558	L'impasse de l'amour et de la haine	drama a young coupl of lover want to travel to tokio to work and form a famili there, but the parent of him want hi son to regent their hotel. finally, he doe what hi parent want him to, and her find herself abandon in the big city. familyrelationship coupl parent young son kenjimizoguchi
tt0028976	Chanson d'un panier de fleurs	drama heinosukegosho
tt0029073	Les vicissitudes de la vie I	drama romanc romanc basedonnovel mikionarus
tt0029074	Les vicissitudes de la vie II	drama romanc sequel basedonnovel mikionarus
tt0029077	Des enfants dans le vent	drama two young boy are usurp from be the head of their gang of children. their father is fire and arrest for this, and they are sent to live with their uncle, onli to spend their time think of way to escap back home. escap boy father young childhood hiroshishimizu
tt0029291	Avalanche	drama avalanch is a studi of a one-year marriag that begin to crumble. a marri man is torn between the love of hi wife, and the attract to a cousin of hi wife. infidel love marri mikionarus
tt0029326	Les larmes d'une femme	drama the irresolut heroin marri without love and find herself regard as an extra worker in her mother-in-law' house. she ha to re-apprais own life. love mikionarus
tt0029557	Qu'est-ce que la dame a oublié?	comedi drama an affluent medic professor, komiya, and hi bossi wife, tokio, are to look after setsuko, their high-spirit niec from osaka. setsuko is a liber woman who doe what she wants, includ smoking, even though she is a minor. on saturday, the professor doe not feel like go to hi weekend golf game, but hi wife pack him off anyway. so he leav hi bag at the apart of hi student okada, and goe to a bar with a friend. setsuko trace him there, and insist that he take her to a geisha house. when she get rather tipsy, the professor call okada to take her home, while he sleep at okada's. the wife becom suspici of setsuko when she see okada bring her home, and also of her husband when she discov that he did not go golfing. geisha henpeckedhusband birdcag schoolboy teenag japaneseteenag japanesewoman yasujirôozu
tt0030195	Les cinq éclaireurs	drama war a patrol of japanes troop in china goe on a patrol into enemi territori in thi realist ,if propagandistic, war drama. tomotakatasaka
tt0030899	Tsuruhachi et Tsurujiro	drama mr. tsurujiro is a japanes folk singer assist by ms. tsuruhachi on the shamisen. the pair is popular, but he nitpick often on her music and so they split. she marri a benefactor, but after a joint show, feel music is abov marriage. wood sunset singer romantic openend mikionarus
tt0031407	Toute la famille travaille	drama father of nine children cannot find a job. despit their aspirations, the children are encourag by both parent to hold down menial job and contribut to the famili expenses. eventu one rebels, with the support and sympathi of the other children. depress japan unemploy mikionarus
tt0031605	Le coeur sincère	drama two young girls, nobiko and tomiko, go to the same school. the less fortun girl nobiko is one of the top students, while the rich girl tomiko is not. at one time tomiko' father wa quit fond of nobuko' mother. basedonnovelorbook basedonnovel mikionarus
tt0032156	Contes des chrysanthèmes tardifs	drama romanc the adopt son of a legendari actor, and an aspir star himself, turn to hi infant brother' wet nurs for support and affect - onli for her to give up everyth for her beloved' glory. forbiddenlov osaka japan tokyo japan kabuki 19thcenturi adoptedson theatricaltroup 1880 19thcenturi year1885 year1888 kantoregion kenjimizoguchi
tt0033131	Acteurs ambulants	comedi stori about a group of actor mostli base on the guy play the horse. japan ruralarea kabuki group mikionarus
tt0033654	La vengeance des 47 rônins	drama histori the legendari forty-seven ronin plot to aveng the death of their lord, asano naganori, by kill kira yoshinaka, a shogun offici respons for asano be forc to commit seppuku. japan samurai loyalti seppuku ronin shogun pride kyoto japan revengekil feudallord feudaljapan digniti shogun clashofclan vengeanc harakiri historyofjapan death ronin samurai dishonor corrupt kenjimizoguchi
